timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216827.555,51.270,46.387,21.973,48.828,-24.414,1
216827.559,43.945,44.434,33.203,55.664,3.906,0
216827.563,38.574,25.879,51.758,49.805,52.734,0
216827.567,24.902,7.324,50.293,34.180,17.578,0
216827.570,21.484,7.324,31.250,26.367,4.883,0
216827.574,27.344,13.184,7.812,30.273,26.367,0
216827.578,27.832,32.227,0.977,35.645,58.594,0
216827.582,24.414,38.574,20.508,19.043,71.777,0
216827.586,25.879,32.715,36.621,5.371,24.414,0
216827.590,30.273,37.109,44.922,17.578,4.883,0
216827.594,28.320,35.156,43.457,21.973,-0.488,0
216827.598,29.785,30.273,40.527,23.438,-4.883,0
216827.602,40.527,26.367,42.969,46.387,6.348,0
216827.606,54.688,20.996,37.598,54.199,3.418,0
216827.610,51.270,20.508,21.973,43.945,0.977,0
216827.613,37.109,27.344,18.066,40.527,-0.488,0
216827.617,43.945,39.062,26.855,48.340,3.418,0
216827.621,51.758,38.086,26.367,48.828,14.160,0
216827.625,46.387,36.133,32.227,35.645,51.758,0
216827.629,43.945,38.574,33.691,29.785,20.996,0
216827.633,41.504,37.109,31.250,28.320,-18.555,0
216827.637,53.711,45.410,24.414,34.180,23.926,0
216827.641,55.664,44.434,21.484,41.992,22.949,0
216827.645,39.062,30.273,18.066,36.621,1.465,0
216827.649,26.855,30.762,19.043,34.180,8.301,0
216827.652,33.691,28.320,42.969,37.109,27.832,0
216827.656,44.922,29.297,51.758,55.176,21.973,0
216827.660,52.734,39.551,46.387,59.570,32.715,0
216827.664,37.598,26.367,37.109,32.715,65.430,0
216827.668,27.832,10.254,31.738,27.344,11.719,0
216827.672,35.645,18.066,22.461,29.785,2.930,0
216827.676,37.598,33.691,4.883,42.969,14.160,0
216827.680,31.250,43.457,20.996,53.223,3.906,0
216827.684,29.785,30.273,56.152,39.551,49.316,0
216827.688,36.621,20.996,50.781,32.715,26.367,0
216827.692,39.551,33.203,37.109,31.738,17.090,0
216827.695,41.992,43.457,37.109,41.504,72.754,0
216827.699,39.062,41.992,27.832,54.688,53.711,0
216827.703,35.156,37.109,14.648,61.523,-4.395,0
216827.707,39.062,37.109,5.859,46.875,-11.719,0
216827.711,32.715,29.785,25.391,41.016,6.348,0
216827.715,15.625,20.996,60.547,40.527,7.812,0
216827.719,22.461,20.020,58.105,16.602,-15.137,0
216827.723,25.879,24.902,39.551,12.207,3.418,0
216827.727,11.719,25.391,28.320,17.090,28.809,0
216827.731,21.973,26.367,23.438,21.973,4.883,0
216827.735,33.691,33.691,20.508,31.250,11.230,0
216827.738,32.715,25.879,11.719,33.691,39.551,0
216827.742,45.410,30.762,12.695,48.828,75.684,0
216827.746,38.086,37.109,25.391,51.758,65.430,0
216827.750,32.227,20.020,52.246,37.109,55.664,0
216827.754,30.762,15.625,58.105,32.227,84.961,0
216827.758,25.879,10.742,37.598,25.879,84.961,0
216827.762,26.367,20.996,27.344,21.973,67.383,0
216827.766,23.926,37.109,22.461,17.578,15.625,0
216827.770,34.180,38.574,30.273,23.438,0.000,0
216827.774,37.109,38.086,31.738,34.180,18.555,0
216827.777,38.574,38.086,17.090,43.457,54.688,0
216827.781,46.387,29.785,18.555,52.246,65.918,0
216827.785,38.086,12.207,34.668,56.641,52.734,0
216827.789,29.785,16.113,40.039,50.781,60.059,0
216827.793,36.621,37.598,45.898,31.738,22.949,0
216827.797,38.086,45.410,45.410,30.273,9.277,0
216827.801,36.133,32.715,28.809,30.273,41.992,0
216827.805,34.180,27.344,14.648,26.367,40.039,0
216827.809,31.738,31.250,17.090,23.926,-8.789,0
216827.813,35.645,35.645,33.691,27.832,2.930,0
216827.817,48.340,44.434,39.551,39.062,55.176,0
216827.820,46.387,34.668,41.504,39.062,36.621,0
216827.824,37.109,17.090,47.363,28.809,6.836,0
216827.828,33.691,17.578,42.969,32.227,41.016,0
216827.832,27.832,20.996,36.621,33.691,48.828,0
216827.836,22.949,20.996,31.250,24.902,62.500,0
216827.840,42.969,28.320,19.043,31.738,57.617,0
216827.844,47.363,44.922,20.996,40.527,19.531,0
216827.848,25.391,39.062,40.039,30.273,29.785,0
216827.852,28.320,26.855,56.641,26.367,42.969,0
216827.856,36.621,27.832,43.945,35.645,29.785,0
216827.860,49.316,33.691,38.574,44.922,34.180,0
216827.863,54.688,37.109,54.199,50.781,71.777,0
216827.867,30.762,28.320,46.875,36.133,104.980,0
216827.871,23.438,20.020,34.180,17.090,48.340,0
216827.875,36.621,25.879,22.949,28.320,37.598,0
216827.879,40.039,37.109,22.949,41.504,71.289,0
216827.883,45.410,47.852,47.363,50.781,29.297,0
216827.887,48.340,53.711,54.688,68.359,3.418,0
216827.891,51.758,38.086,38.086,58.105,7.812,0
216827.895,54.688,37.109,41.504,42.480,-12.207,0
216827.899,41.992,44.434,44.434,41.992,6.348,0
216827.902,37.109,34.668,25.391,36.621,-4.395,0
216827.906,41.992,32.227,10.254,25.879,-31.738,0
216827.910,26.367,31.738,16.602,20.020,-13.184,0
216827.914,17.090,25.391,34.180,18.555,8.301,0
216827.918,24.902,29.785,43.945,25.391,-9.766,0
216827.922,33.203,37.109,50.781,42.480,21.484,0
216827.926,34.180,33.691,48.828,43.945,32.715,0
216827.930,27.832,28.320,30.762,36.133,10.742,0
216827.934,29.785,38.574,17.090,29.785,61.035,0
216827.938,41.504,52.246,27.344,32.227,37.598,0
216827.942,50.781,42.480,24.414,37.598,11.719,0
216827.945,32.715,27.344,12.695,30.273,22.949,0
216827.949,29.297,24.414,24.902,25.391,5.371,0
216827.953,43.457,19.531,48.828,19.043,15.625,0
216827.957,35.156,15.137,53.223,20.020,15.625,0
216827.961,28.809,21.973,37.109,18.066,-44.922,0
216827.965,26.367,20.996,33.203,16.113,-36.621,0
216827.969,28.809,26.367,36.621,30.273,-22.461,0
216827.973,36.621,35.645,25.391,44.922,-21.484,0
216827.977,33.203,32.715,11.230,37.598,-14.160,0
216827.981,39.551,35.645,16.602,43.945,1.465,0
216827.985,47.363,40.527,30.273,55.664,32.227,0
216827.988,29.297,28.809,42.480,31.250,30.762,0
216827.992,25.391,23.438,47.852,21.973,24.902,0
216827.996,29.785,34.668,41.504,26.855,17.090,0
216828.000,20.020,24.414,34.668,18.066,-16.113,0
216828.004,19.043,12.207,25.391,21.484,-42.480,0
216828.008,26.855,18.066,4.883,31.250,-36.621,0
216828.012,28.320,17.578,6.836,25.391,6.836,0
216828.016,35.645,25.391,38.086,35.156,39.551,0
216828.020,40.039,41.504,58.594,58.105,44.922,0
216828.024,41.992,36.133,49.316,51.270,63.965,0
216828.027,29.785,20.020,38.086,37.109,86.914,0
216828.031,34.180,16.113,32.227,32.227,37.598,0
216828.035,46.875,25.879,18.555,20.020,0.488,0
216828.039,36.621,33.691,15.137,23.926,23.926,0
216828.043,35.156,35.156,22.461,33.203,2.441,0
216828.047,34.668,32.715,29.297,28.320,-5.859,0
216828.051,31.250,33.691,36.621,31.738,17.090,0
216828.055,39.062,31.250,35.156,35.156,32.715,0
216828.059,47.363,29.297,34.668,38.574,61.523,0
216828.063,49.316,39.062,37.109,43.457,50.293,0
216828.067,36.133,40.527,24.902,36.133,34.668,0
216828.070,24.902,34.180,9.766,37.109,33.203,0
216828.074,49.316,29.297,6.836,35.645,15.625,0
216828.078,51.758,30.762,21.484,20.020,7.812,0
216828.082,24.902,33.203,39.551,20.508,22.949,0
216828.086,23.926,30.273,43.945,23.926,34.180,0
216828.090,29.297,30.762,37.109,20.020,15.137,0
216828.094,25.879,22.461,39.062,22.461,3.906,0
216828.098,28.809,19.043,48.340,26.367,-3.906,0
216828.102,41.504,26.367,47.852,43.457,33.203,0
216828.106,39.062,33.203,40.039,47.852,50.293,0
216828.110,34.668,40.039,34.180,47.852,4.395,0
216828.113,47.852,36.621,35.156,65.430,22.461,0
216828.117,47.363,27.832,29.785,62.500,33.203,0
216828.121,44.434,28.320,31.250,48.828,46.875,0
216828.125,41.992,22.461,43.945,45.410,20.020,0
216828.129,39.062,22.949,36.621,31.250,-17.090,0
216828.133,41.016,25.879,37.598,32.227,36.133,0
216828.137,36.133,26.367,39.062,37.598,32.715,0
216828.141,38.574,33.203,38.086,20.508,0.000,0
216828.145,35.645,27.344,37.109,15.625,21.484,0
216828.149,24.902,21.484,27.832,26.855,68.848,0
216828.152,28.809,32.227,16.602,36.133,65.430,0
216828.156,44.434,41.504,21.484,42.969,47.852,0
216828.160,41.992,36.133,34.180,45.898,55.664,0
216828.164,29.785,30.762,38.574,44.922,54.688,0
216828.168,39.062,37.598,36.133,45.898,54.199,0
216828.172,46.387,29.297,33.203,35.156,60.059,0
216828.176,35.156,7.812,30.762,20.020,30.273,0
216828.180,30.273,20.020,24.902,25.879,27.832,0
216828.184,39.062,40.527,26.367,31.250,14.648,0
216828.188,37.109,42.969,16.602,31.250,21.484,0
216828.192,44.434,46.875,13.672,41.504,75.195,0
216828.195,34.180,39.062,33.691,43.945,63.477,0
216828.199,21.973,22.949,42.969,35.156,43.945,0
216828.203,33.691,29.297,41.504,30.762,64.453,0
216828.207,34.668,40.527,40.527,42.969,53.711,0
216828.211,41.504,33.203,31.738,32.715,29.785,0
216828.215,32.715,24.414,18.555,19.531,17.578,0
216828.219,39.062,27.832,19.043,33.203,19.043,0
216828.223,45.898,36.133,27.344,38.574,32.227,0
216828.227,34.180,35.156,20.996,27.344,25.879,2
216828.231,44.434,18.066,20.508,27.832,31.250,0
216828.235,46.387,8.789,38.574,41.992,27.344,0
216828.238,38.086,27.832,36.621,44.922,-0.977,0
216828.242,30.762,43.457,24.902,50.781,-14.648,0
216828.246,20.996,29.785,21.973,39.062,-27.344,0
216828.250,19.531,16.602,21.484,14.648,50.781,0
216828.254,25.391,18.066,29.785,17.090,101.074,0
216828.258,23.926,26.367,31.738,20.508,74.707,0
216828.262,31.738,39.062,22.461,31.738,93.750,0
216828.266,27.344,41.016,28.320,38.086,115.234,0
216828.270,20.020,33.203,29.297,31.738,104.980,0
216828.274,34.180,30.273,25.391,30.762,112.305,0
216828.277,43.945,23.438,25.879,36.133,111.816,0
216828.281,51.270,20.996,29.785,54.199,94.727,0
216828.285,52.734,24.902,41.016,54.688,78.613,0
216828.289,52.246,29.297,49.316,41.016,50.293,0
216828.293,40.039,38.086,46.387,37.598,27.832,0
216828.297,33.691,46.875,37.598,40.039,43.945,0
216828.301,45.410,46.387,34.668,41.992,62.500,0
216828.305,43.945,38.574,30.273,38.574,37.109,0
216828.309,42.969,41.016,26.367,38.574,54.688,0
216828.313,48.340,40.527,32.715,41.504,66.895,0
216828.317,48.828,37.598,31.250,44.434,54.199,0
216828.320,53.711,40.527,27.832,49.805,60.547,0
216828.324,50.781,29.297,32.227,46.875,29.785,0
216828.328,31.738,24.902,35.156,46.387,40.527,0
216828.332,28.809,19.531,29.297,53.711,46.387,0
216828.336,38.086,19.531,25.879,31.738,25.879,0
216828.340,41.504,36.133,41.016,15.625,27.832,0
216828.344,23.438,42.480,48.340,30.273,20.020,0
216828.348,22.461,38.574,32.227,37.598,20.020,0
216828.352,20.020,32.227,30.762,27.344,52.734,0
216828.356,20.996,26.367,30.762,26.367,69.824,0
216828.360,46.387,34.668,25.391,40.527,83.008,0
216828.363,43.945,33.203,30.273,50.781,113.770,0
216828.367,29.785,11.230,37.109,38.574,52.246,0
216828.371,33.691,5.859,35.645,30.762,34.668,0
216828.375,34.180,24.902,40.039,26.855,46.875,0
216828.379,38.574,52.246,46.387,13.672,44.434,0
216828.383,42.480,52.246,44.434,20.020,14.648,0
216828.387,34.180,37.109,30.762,33.691,51.758,0
216828.391,36.133,35.156,22.949,35.156,96.680,0
216828.395,35.645,38.086,33.691,27.832,58.594,0
216828.399,29.297,31.250,36.133,26.367,24.414,0
216828.402,37.598,25.391,31.738,35.156,17.090,0
216828.406,37.598,26.367,41.504,35.645,35.156,0
216828.410,19.043,27.344,41.016,25.879,49.316,0
216828.414,16.602,27.832,37.109,24.902,40.527,0
216828.418,33.691,30.273,42.480,27.344,28.809,0
216828.422,39.551,38.574,31.250,33.691,41.504,0
216828.426,37.109,38.574,26.855,33.203,42.969,0
216828.430,43.457,35.156,38.086,33.203,32.227,0
216828.434,36.133,23.926,30.273,36.133,43.945,0
216828.438,28.320,18.555,17.578,49.805,36.133,0
216828.442,33.203,30.762,24.902,45.898,41.504,0
216828.445,27.344,33.691,41.504,21.973,49.805,0
216828.449,31.250,28.809,37.109,23.438,43.457,0
216828.453,40.039,31.250,29.785,34.668,39.062,0
216828.457,44.922,35.645,37.598,44.922,55.664,0
216828.461,41.016,31.738,29.297,41.504,65.430,0
216828.465,33.691,19.043,27.832,34.668,62.500,0
216828.469,36.621,10.254,36.621,33.203,29.297,0
216828.473,44.922,19.043,30.273,41.992,-16.113,0
216828.477,41.992,22.461,25.879,42.480,17.090,0
216828.481,32.715,25.391,29.785,42.480,54.199,0
216828.485,31.250,40.039,35.156,40.039,66.406,0
216828.488,38.086,42.480,40.039,31.738,45.410,0
216828.492,38.574,39.062,37.598,36.133,33.691,0
216828.496,33.691,30.762,40.527,32.715,48.340,0
216828.500,27.832,20.996,42.480,23.438,39.062,0
216828.504,18.066,19.531,41.016,21.484,30.762,0
