timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
191342.364,41.992,21.484,38.086,45.898,46.875,0
191342.368,38.086,28.809,30.762,35.156,0.977,0
191342.372,30.762,38.574,13.672,33.691,4.395,0
191342.375,28.320,27.344,8.301,49.805,29.297,0
191342.379,36.621,20.508,28.320,42.969,72.754,0
191342.383,48.340,32.227,38.086,28.809,70.801,0
191342.387,41.992,37.598,39.551,41.504,25.879,0
191342.391,39.062,32.227,34.180,43.457,-17.578,0
191342.395,41.016,28.320,29.785,44.922,13.184,0
191342.399,32.715,32.715,30.273,32.715,20.508,0
191342.403,26.367,23.438,25.879,28.809,-27.344,0
191342.407,23.438,22.461,28.809,33.691,-22.461,0
191342.411,29.785,32.227,38.086,47.363,39.551,0
191342.414,33.691,39.551,39.062,47.852,35.645,0
191342.418,25.879,38.086,33.691,29.785,-11.230,0
191342.422,22.949,31.250,32.227,34.668,-15.625,0
191342.426,23.438,25.879,36.621,58.594,69.336,0
191342.430,23.438,32.715,36.621,45.898,99.609,0
191342.434,21.973,39.062,41.016,8.301,34.180,0
191342.438,22.461,28.809,37.109,10.742,0.977,0
191342.442,27.344,21.973,23.438,44.434,55.176,0
191342.446,26.855,12.695,26.367,40.039,94.727,0
191342.450,21.973,18.066,34.668,23.438,32.227,0
191342.454,25.391,27.344,38.574,26.855,-10.742,0
191342.457,25.879,24.414,45.410,35.645,48.828,0
191342.461,21.973,30.762,44.434,35.645,60.547,0
191342.465,20.020,38.574,37.109,18.555,-38.086,0
191342.469,20.020,42.969,33.691,24.414,-55.664,0
191342.473,15.625,40.039,33.691,31.738,-8.789,0
191342.477,9.277,25.879,26.855,45.898,19.531,0
191342.481,15.137,23.438,19.531,36.133,-25.391,0
191342.485,19.531,31.250,24.902,19.531,-87.402,0
191342.489,11.719,36.621,30.273,36.621,-53.711,0
191342.493,24.414,34.180,25.391,51.270,-23.438,0
191342.497,32.227,33.203,22.461,40.527,19.043,0
191342.500,23.438,37.109,29.785,22.949,35.156,0
191342.504,8.789,30.762,37.109,22.949,-8.789,0
191342.508,7.324,28.320,35.645,32.227,28.320,0
191342.512,29.785,34.668,34.668,46.387,63.477,0
191342.516,23.438,30.273,40.527,37.598,24.902,0
191342.520,-2.930,21.973,38.086,19.531,9.277,0
191342.524,6.348,20.996,37.109,32.715,-4.395,0
191342.528,22.461,21.973,37.109,50.293,33.691,0
191342.532,19.043,27.344,23.926,34.668,69.336,0
191342.536,10.254,36.133,25.391,26.367,41.016,0
191342.539,1.953,29.785,37.598,23.926,57.129,0
191342.543,-0.488,22.949,38.574,20.996,83.496,0
191342.547,3.906,26.855,38.574,23.438,56.641,0
191342.551,4.883,29.785,37.109,13.672,18.066,0
191342.555,5.859,22.461,35.645,17.090,15.625,0
191342.559,9.277,1.953,27.344,41.504,78.613,0
191342.563,14.160,13.184,14.160,43.945,119.141,0
191342.567,17.578,34.180,22.461,28.320,55.176,0
191342.571,9.766,36.133,39.551,25.879,-0.488,0
191342.575,13.184,34.180,44.922,37.109,38.086,0
191342.579,18.066,30.273,41.992,45.410,62.012,0
191342.582,17.090,25.879,33.203,31.250,30.762,0
191342.586,23.926,10.742,28.809,18.066,-40.039,0
191342.590,14.160,15.137,29.297,35.645,-34.180,0
191342.594,10.742,30.762,17.090,58.105,61.035,0
191342.598,26.855,24.414,8.301,53.711,29.297,0
191342.602,20.996,21.973,25.879,20.020,-24.902,0
191342.606,3.418,28.809,46.875,16.113,19.043,0
191342.610,8.301,29.785,47.852,37.598,55.664,0
191342.614,17.090,29.297,35.156,31.738,68.848,0
191342.618,15.625,28.809,25.879,11.719,23.438,0
191342.622,13.184,31.738,26.367,17.578,19.043,0
191342.625,26.367,31.250,37.598,44.434,61.523,0
191342.629,42.969,31.738,28.320,47.363,36.621,0
191342.633,36.133,32.227,8.789,35.156,-4.395,0
191342.637,27.832,30.762,13.672,27.344,14.648,0
191342.641,28.809,28.320,31.738,35.156,45.898,0
191342.645,22.461,23.438,41.504,53.223,54.199,0
191342.649,22.461,26.855,41.992,37.598,16.113,0
191342.653,26.367,37.598,34.668,21.484,0.488,0
191342.657,26.367,34.668,20.508,29.297,41.504,0
191342.661,36.621,27.832,14.160,43.457,60.059,0
191342.664,38.574,31.738,17.578,32.227,7.324,0
191342.668,26.367,30.273,32.715,20.020,-18.066,0
191342.672,12.207,32.227,45.410,23.438,-0.488,0
191342.676,16.113,30.273,47.363,38.574,9.277,0
191342.680,27.832,24.902,41.992,41.016,18.066,0
191342.684,23.926,30.273,33.691,28.320,-2.441,0
191342.688,21.973,36.621,29.785,34.180,-15.625,0
191342.692,20.020,30.762,22.949,51.758,39.062,0
191342.696,35.645,34.180,23.926,69.824,103.027,1
191342.700,49.805,40.527,34.668,55.664,57.129,0
191342.704,28.809,27.832,29.785,26.855,9.766,0
191342.707,24.902,24.414,25.879,28.809,55.176,0
191342.711,31.250,29.297,31.738,34.668,90.332,0
191342.715,23.438,32.227,32.227,20.508,72.266,0
191342.719,25.391,34.180,33.203,14.648,19.043,0
191342.723,13.672,37.109,29.297,26.367,-2.930,0
191342.727,9.766,31.250,32.715,45.898,60.547,0
191342.731,21.973,26.367,38.574,44.434,33.691,0
191342.735,17.090,29.297,32.715,33.203,-59.570,0
191342.739,13.184,32.227,27.832,31.738,-37.598,0
191342.743,23.926,29.785,30.273,45.898,17.090,0
191342.747,27.344,25.391,30.273,47.852,19.531,0
191342.750,28.320,23.438,24.902,29.785,16.113,0
191342.754,24.902,25.391,33.203,21.484,9.766,0
191342.758,22.949,22.949,38.086,27.344,59.082,0
191342.762,27.344,26.855,23.926,40.039,90.332,0
191342.766,28.320,37.109,19.531,30.762,27.832,0
191342.770,27.832,30.762,30.762,31.250,-6.348,0
191342.774,21.484,20.020,36.621,45.898,38.574,0
191342.778,24.902,14.160,35.645,48.828,71.289,0
191342.782,20.996,27.344,29.785,33.691,80.566,0
191342.786,18.555,36.133,26.855,18.555,67.871,0
191342.789,20.020,30.762,31.250,22.461,66.895,0
191342.793,22.461,32.227,28.320,37.109,69.336,0
191342.797,24.902,34.668,27.344,36.133,32.715,0
191342.801,20.508,32.227,30.273,24.414,10.254,0
191342.805,27.832,31.738,27.832,25.879,14.160,0
191342.809,28.809,26.367,33.203,42.480,56.152,0
191342.813,20.020,25.391,33.203,29.785,58.105,0
191342.817,21.973,30.762,26.367,26.855,18.066,0
191342.821,18.066,25.879,29.297,34.668,-26.855,0
191342.825,19.043,24.902,38.086,33.691,13.184,0
191342.829,25.391,21.973,36.621,40.527,67.871,0
191342.832,25.391,21.973,25.879,32.715,66.406,0
191342.836,25.391,28.809,25.879,24.414,68.848,0
191342.840,14.648,34.668,34.180,40.527,75.195,0
191342.844,7.324,27.832,28.320,43.945,77.148,0
191342.848,15.137,25.879,20.996,24.902,60.547,0
191342.852,19.043,28.320,32.715,25.391,22.461,0
191342.856,12.695,22.461,45.410,23.926,7.812,0
191342.860,17.090,18.555,49.316,36.621,72.266,0
191342.864,20.020,15.625,40.527,38.574,115.234,0
191342.868,24.902,20.508,37.598,15.137,66.895,0
191342.872,29.785,32.715,39.062,13.184,35.156,0
191342.875,33.203,39.551,33.203,38.574,57.129,0
191342.879,30.762,39.062,31.250,41.016,52.734,0
191342.883,27.832,37.598,22.461,24.902,-11.719,0
191342.887,26.855,35.645,13.184,34.668,-31.738,0
191342.891,14.648,30.273,22.949,44.922,26.855,0
191342.895,20.996,30.762,41.016,46.387,62.988,0
191342.899,31.250,36.621,49.316,34.668,47.363,0
191342.903,23.438,21.973,43.945,15.137,23.926,0
191342.907,21.973,15.625,42.480,23.438,35.156,0
191342.911,25.391,33.691,38.574,43.457,60.547,0
191342.914,31.738,45.898,33.691,39.062,39.551,0
191342.918,34.180,46.875,35.645,21.973,-30.273,0
191342.922,24.902,40.527,41.504,32.227,-8.789,0
191342.926,21.973,29.297,33.691,50.293,96.191,0
191342.930,21.484,28.809,14.160,40.527,74.219,0
191342.934,20.996,39.062,10.254,25.879,3.418,0
191342.938,23.438,45.898,27.344,30.762,-5.859,0
191342.942,19.043,35.156,43.457,38.574,26.367,0
191342.946,19.043,27.344,41.992,39.062,54.688,0
191342.950,20.020,30.762,41.016,15.625,0.977,0
191342.954,11.230,35.645,43.457,12.695,-13.672,0
191342.957,14.648,33.691,43.945,36.621,18.555,0
191342.961,24.414,29.297,48.340,41.504,32.227,0
191342.965,23.438,38.086,38.086,20.996,42.480,0
191342.969,24.902,39.062,24.902,22.949,9.766,0
191342.973,16.113,26.855,20.020,26.367,-3.418,0
191342.977,15.137,28.320,19.043,29.297,43.945,0
191342.981,28.809,32.227,19.043,37.109,16.602,0
