Time,Timestamp,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Estimulo
0.000,1595457113632.701,37912.984,10899.381,-61525.879,-18017.852,-17216.922,-27906.354,-63536.621,-24547.422,2
0.004,1595457113636.701,36064.492,10848.150,-61567.410,-18028.469,-16655.916,-27875.463,-63546.098,-24527.082,0
0.008,1595457113640.701,36564.523,10761.627,-61624.605,-18134.193,-16259.173,-27994.508,-63602.402,-24640.562,0
0.012,1595457113644.700,38557.605,10718.511,-61613.141,-18160.791,-16798.475,-28068.314,-63641.270,-24747.090,0
0.016,1595457113648.700,38921.070,10735.878,-61551.004,-18066.602,-17495.045,-27924.592,-63601.016,-24714.770,0
0.020,1595457113652.700,37934.844,10791.399,-61527.242,-17988.773,-17218.486,-27874.166,-63539.973,-24640.740,0
0.024,1595457113656.700,36052.020,10759.570,-61552.008,-17982.514,-16589.711,-27873.184,-63526.203,-24623.463,0
0.028,1595457113660.700,36503.840,10696.181,-61600.938,-18065.461,-16182.886,-27947.637,-63574.953,-24725.455,0
0.032,1595457113664.700,38532.754,10623.516,-61601.227,-18121.586,-16729.676,-27978.639,-63622.539,-24848.725,0
0.036,1595457113668.700,38927.527,10642.537,-61539.180,-18022.994,-17401.480,-27874.748,-63576.227,-24822.729,0
0.040,1595457113672.700,37934.082,10709.950,-61508.379,-17924.355,-17169.268,-27800.518,-63515.430,-24722.102,0
0.044,1595457113676.699,36015.992,10634.602,-61554.980,-17951.424,-16602.338,-27920.703,-63526.562,-24720.693,0
0.048,1595457113680.699,36475.477,10538.132,-61621.770,-18038.260,-16225.533,-27963.260,-63592.297,-24814.303,0
0.052,1595457113684.699,38560.312,10469.400,-61602.074,-18065.641,-16691.053,-27975.240,-63609.262,-24900.736,0
0.056,1595457113688.699,39010.207,10465.086,-61542.887,-17978.402,-17364.533,-27892.764,-63567.195,-24873.467,0
0.060,1595457113692.699,38006.703,10517.971,-61514.902,-17872.432,-17210.307,-27776.557,-63518.090,-24742.105,0
0.064,1595457113696.699,36052.379,10442.176,-61554.379,-17882.625,-16620.689,-27793.744,-63515.609,-24705.047,0
0.068,1595457113700.699,36436.004,10316.515,-61621.523,-17990.494,-16179.936,-27911.918,-63577.367,-24819.711,0
0.072,1595457113704.698,38566.750,10249.839,-61603.059,-17996.908,-16683.230,-27916.992,-63596.945,-24917.812,0
0.076,1595457113708.698,39091.500,10229.745,-61536.695,-17904.328,-17401.816,-27865.605,-63552.379,-24928.609,0
0.080,1595457113712.698,38046.469,10201.112,-61546.176,-17836.355,-17246.293,-27847.791,-63523.789,-24890.611,0
0.084,1595457113716.698,36073.523,10114.209,-61558.938,-17824.957,-16612.777,-27849.088,-63491.133,-24868.551,0
0.088,1595457113720.698,36441.074,9978.153,-61602.074,-17891.654,-16154.209,-27925.709,-63527.945,-24946.244,0
0.092,1595457113724.698,38577.789,9791.182,-61600.043,-17931.775,-16628.133,-27936.551,-63569.387,-25035.920,0
0.096,1595457113728.698,39116.715,9683.446,-61530.551,-17847.555,-17329.330,-27901.100,-63528.684,-25017.412,0
0.100,1595457113732.698,38089.965,9667.040,-61518.168,-17753.900,-17139.652,-27797.947,-63481.633,-24928.273,0
0.104,1595457113736.698,36057.004,9567.910,-61549.617,-17746.637,-16553.725,-27776.578,-63469.723,-24898.949,0
0.108,1595457113740.698,36346.125,9420.254,-61593.648,-17844.514,-16077.028,-27949.627,-63506.309,-24996.559,0
0.112,1595457113744.697,38528.930,9269.760,-61612.270,-17901.758,-16548.896,-27921.396,-63567.645,-25091.643,0
0.116,1595457113748.697,39159.516,9273.225,-61540.230,-17823.281,-17242.381,-27844.572,-63521.910,-25050.963,0
